date,ticker,price
2026-01-01,SPY,689.8307449657879
2026-01-02,SPY,691.3246874614384
2026-01-03,SPY,693.1886456121812
2026-01-04,SPY,694.2203688777682
2026-01-05,SPY,695.0257610510491
2026-01-06,SPY,694.1484988474838
2026-01-07,SPY,694.0299367228815
2026-01-08,SPY,693.892617404459
2026-01-09,SPY,693.997548511774
2026-01-10,SPY,694.3131045843209
2026-01-11,SPY,694.3708787985951
2026-01-12,SPY,693.4190532775959
2026-01-13,SPY,693.0205751182556
2026-01-14,SPY,692.4444032634623
2026-01-15,SPY,693.2792224963122
2026-01-16,SPY,692.5202900417397
2026-01-17,SPY,691.8582627558742
2026-01-18,SPY,692.6625852541961
2026-01-19,SPY,693.3570995702628
2026-01-20,SPY,693.2998007451678
