date,close
2026-03-31,650.34
2026-04-01,655.24
2026-04-02,655.83
2026-04-06,658.93
2026-04-07,659.22
2026-04-08,676.01
2026-04-09,679.91
2026-04-10,679.46
2026-04-13,686.1
2026-04-14,694.46
2026-04-15,699.94
2026-04-16,701.66
2026-04-17,710.14
2026-04-20,708.72
2026-04-21,704.08
2026-04-22,711.21
2026-04-23,708.45
2026-04-24,713.94
2026-04-27,715.17
2026-04-28,711.69
2026-04-29,711.58
2026-04-30,718.66
2026-05-01,720.65
2026-05-04,718.01
2026-05-05,723.77
2026-05-06,733.83
2026-05-07,731.58
2026-05-08,737.62
2026-05-11,739.3
2026-05-12,738.18
2026-05-13,742.31
2026-05-14,748.17
2026-05-15,739.17
2026-05-18,738.65
2026-05-19,733.73
2026-05-20,741.25
2026-05-21,742.72
2026-05-22,745.64
2026-05-26,750.59
2026-05-27,750.46
2026-05-28,754.6
2026-05-29,756.48
2026-06-01,758.54
2026-06-02,759.57
2026-06-03,754.24
2026-06-04,757.09
2026-06-05,737.55
2026-06-08,739.22
2026-06-09,737.05
2026-06-10,725.43
2026-06-11,737.76
2026-06-12,741.75
2026-06-15,754.83
2026-06-16,750.33
2026-06-17,740.96
2026-06-18,746.74
2026-06-22,744.39
2026-06-23,733.58
2026-06-24,733.24
2026-06-25,734.3
2026-06-26,728.99
2026-06-29,741.0
2026-06-30,746.77
2026-07-01,745.76
2026-07-02,744.78
2026-07-06,751.28
2026-07-07,747.71
2026-07-08,745.4
2026-07-09,751.71
2026-07-10,754.95
2026-07-13,749.17
2026-07-14,751.83
2026-07-15,754.81
2026-07-16,750.72
2026-07-17,743.29
2026-07-20,742.09
2026-07-21,748.28
2026-07-22,747.41
2026-07-23,738.18
2026-07-24,738.93
2026-07-27,739.09
2026-07-28,740.86
2026-07-29,729.46
2026-07-30,741.69
2026-07-31,747.03
2026-08-03,757.67
2026-08-04,771.33
2026-08-05,769.79
2026-08-06,768.56
2026-08-07,773.26
2026-08-10,773.03
2026-08-11,770.56
2026-08-12,772.49
2026-08-13,777.88
2026-08-14,776.34
2026-08-17,772.67
2026-08-18,767.45
2026-08-19,769.06
2026-08-20,762.6
2026-08-21,765.72
